OCC,SOCXX,OCCUPATION
5630,435111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
5700,436010,Secretaries and Administrative Assistants
5800,439011,Computer Operators
5810,439021,Data Entry Keyers
5820,439022,Word Processors and Typists
5830,439XXX,Miscellaneous office and administrative support workers including desktop publishers
5840,439041,Insurance Claims and Policy Processing Clerks
5850,439051,"Mail Clerks and Mail Machine Operators, Except Postal Service"
5860,439061,"Office Clerks, General"
5900,439071,"Office Machine Operators, Except Computer"
5910,439081,Proofreaders and Copy Markers
5920,439111,Statistical Assistants
5930,439XXX,Miscellaneous office and administrative support workers including desktop publishers
5940,439XXX,Miscellaneous office and administrative support workers including desktop publishers
6000,451011,"First-Line Supervisors of farming, fishing, and forestry workers"
6005,451011,"First-Line Supervisors of farming, fishing, and forestry workers"
6010,452011,Agricultural Inspectors
6020,4520XX,Miscellaneous agricultural workers including animal breeders
6040,452041,"Graders and Sorters, Agricultural Products"
6050,4520XX,Miscellaneous agricultural workers including animal breeders
6100,453000,Fishing and hunting workers
6110,453000,Fishing and hunting workers
6120,454011,Forest and Conservation Workers
6130,454020,Logging Workers
6200,471011,First-Line Supervisors of Construction Trades and Extraction Workers
6210,472011,Boilermakers
6220,472XXX,"Brickmasons, Blockmasons, Stonemasons, and Reinforcing Iron and Rebar Workers"
6230,472031,Carpenters
6240,472040,"Carpet, Floor, and Tile Installers and Finishers"
6250,472050,"Cement Masons, Concrete Finishers, and Terrazzo Workers"
6260,472061,Construction Laborers
6300,472071,"Paving, Surfacing, and Tamping Equipment Operators"
6310,47207X,"Construction equipment operators except paving, surfacing, and tamping equipment operators"
6320,47207X,"Construction equipment operators except paving, surfacing, and tamping equipment operators"
6330,472080,"Drywall Installers, Ceiling Tile Installers, and Tapers"
6350,472111,Electricians
6355,472111,Electricians
6360,472121,Glaziers
6400,472130,Insulation Workers
6420,472140,Painters and Paperhangers
6430,472140,Painters and Paperhangers
6440,472150,"Pipelayers, Plumbers, Pipefitters, and Steamfitters"
6460,472161,Plasterers and Stucco Masons
6500,472XXX,"Brickmasons, Blockmasons, Stonemasons, and Reinforcing Iron and Rebar Workers"
6510,472181,Roofers
6515,472181,Roofers
6520,472211,Sheet Metal Workers
6530,472221,Structural Iron and Steel Workers
6540,47XXXX,"Miscellaneous construction workers including solar Photovaltaic Installers, and septic tank servicers and sewer pipe cleaners"
6600,473010,"Helpers, Construction Trades"
6660,474011,Construction and Building Inspectors
6700,474021,Elevator Installers and Repairers
6710,474031,Fence Erectors
6720,474041,Hazardous Materials Removal Workers
6730,474051,Highway Maintenance Workers
6740,474061,Rail-Track Laying and Maintenance Equipment Operators
6750,47XXXX,"Miscellaneous construction workers including solar Photovaltaic Installers, and septic tank servicers and sewer pipe cleaners"
6760,47XXXX,"Miscellaneous construction workers including solar Photovaltaic Installers, and septic tank servicers and sewer pipe cleaners"
6765,47XXXX,"Miscellaneous construction workers including solar Photovaltaic Installers, and septic tank servicers and sewer pipe cleaners"
6800,4750YY,"Derrick, rotary drill, and service unit operators, and roustabouts, oil, gas, and mining"
6820,475021,"Earth Drillers, Except Oil and Gar"
6830,475031,"Explosives Workers, Ordnance Handling Experts, and Blasters"
6840,475040,Mining Machine Operators
6910,4750XX,Miscellaneous extraction workers including roof bolters and helpers
6920,4750YY,"Derrick, rotary drill, and service unit operators, and roustabouts, oil, gas, and mining"
6930,4750XX,Miscellaneous extraction workers including roof bolters and helpers
6940,4750XX,Miscellaneous extraction workers including roof bolters and helpers
7000,491011,"First-Line Supervisors of Mechanics, Installers, and Repairers"
7010,492011,"Computer, Automated Teller, and Office Machine Repairers"
7020,492020,Radio and Telecommunications Equipment Installers and Repairers
7030,492091,Avionics Technicians
7040,492092,"Electric Motor, Power Tool, and Related Repairers"
7050,49209X,"Electrical and electronics repairers, transportation equipment, and industrial and utility"
7100,49209X,"Electrical and electronics repairers, transportation equipment, and industrial and utility"
7110,492096,"Electronic Equipment Installers and Repairers, Motor Vehicles"
7120,492097,Electronic Home Entertainment Equipment Installers and Repairers
7130,492098,Security and Fire Alarm Systems Installers
7140,493011,Aircraft Mechanics and Service Technicians
7150,493021,Automotive Body and Related Repairers
7160,493022,Automotive Glass Installers and Repairers
7200,493023,Automotive Service Technicians and Mechanics
7210,493031,Bus and Truck Mechanics and Diesel Engine Specialists
7220,493040,Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics
7240,493050,Small Engine Mechanics
7260,493090,"Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers"
7300,499010,Control and Valve Installers and Repairers
7310,499021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
7315,499021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
7320,499031,Home Appliance Repairers
7330,49904X,Industrial and Refractory Machinery Mechanic
7340,499071,"Maintenance and Repair Workers, General"
7350,499043,"Maintenance Workers, Machinery"
7360,499044,Millwrights
7410,499051,Electrical Power-Line Installers and Repairers
7420,499052,Telecommunications Line Installers and Repairers
7430,499060,Precision Instrument and Equipment Repairers
7440,4990XX,"Miscellaneous Installation, Maintenance, and Repair Workers, Including, Wind Turbine Service Technicians"
7510,499091,"Coin, Vending, and Amusement Machine Servicers and Repairers"
7520,4990XX,"Miscellaneous Installation, Maintenance, and Repair Workers, Including, Wind Turbine Service Technicians"
